row_type,catalog,query_type,model,attack,target_idx,runs,control_recommended,attack_recommended,control_rate,attack_rate,delta_rate,control_avg_pos,attack_avg_pos,delta_pos,control_mrr,attack_mrr,delta_mrr,rate_up,pos_better,mrr_up
per_product,coffee_machines,abstract,llama3.1-8b,social_proof_baseline,0,30,1,0,0.03333333333333333,0.0,-0.03333333333333333,4,,,0.008333333333333333,0,-0.008333333333333333,False,False,False
per_product,coffee_machines,abstract,llama3.1-8b,social_proof_baseline,1,30,1,1,0.03333333333333333,0.03333333333333333,0.0,3,2,-1,0.01111111111111111,0.016666666666666666,0.005555555555555557,False,True,True
per_product,coffee_machines,abstract,llama3.1-8b,social_proof_baseline,2,30,1,1,0.03333333333333333,0.03333333333333333,0.0,2,2,0,0.016666666666666666,0.016666666666666666,0.0,False,False,False
per_product,coffee_machines,abstract,llama3.1-8b,social_proof_baseline,3,30,22,22,0.7333333333333333,0.7333333333333333,0.0,4.090909090909091,2.9545454545454546,-1.1363636363636362,0.25,0.44166666666666665,0.19166666666666665,False,True,True
per_product,coffee_machines,abstract,llama3.1-8b,social_proof_baseline,4,30,1,3,0.03333333333333333,0.1,0.06666666666666668,5,5,0,0.006666666666666667,0.02,0.013333333333333332,True,False,True
per_product,coffee_machines,abstract,llama3.1-8b,social_proof_baseline,5,30,28,30,0.9333333333333333,1.0,0.06666666666666665,3.2857142857142856,2.2,-1.0857142857142854,0.35055555555555556,0.705,0.3544444444444444,True,True,True
per_product,coffee_machines,abstract,llama3.1-8b,social_proof_baseline,6,30,28,29,0.9333333333333333,0.9666666666666667,0.033333333333333326,3.642857142857143,3,-0.6428571428571428,0.2872222222222222,0.3938888888888889,0.10666666666666669,True,True,True
per_product,coffee_machines,abstract,llama3.1-8b,social_proof_baseline,7,30,28,30,0.9333333333333333,1.0,0.06666666666666665,2.0357142857142856,1.4333333333333333,-0.6023809523809522,0.5583333333333333,0.8333333333333334,0.275,True,True,True
per_product,coffee_machines,abstract,llama3.1-8b,social_proof_baseline,8,30,25,28,0.8333333333333334,0.9333333333333333,0.09999999999999998,2.12,1.3214285714285714,-0.7985714285714287,0.5122222222222222,0.8055555555555556,0.29333333333333333,True,True,True
per_product,coffee_machines,abstract,llama3.1-8b,social_proof_baseline,9,30,15,22,0.5,0.7333333333333333,0.23333333333333328,2.8,1.3181818181818181,-1.4818181818181817,0.2822222222222222,0.6638888888888889,0.38166666666666665,True,True,True
per_product,coffee_machines,abstract,llama3.1-8b,social_proof,0,30,1,0,0.03333333333333333,0.0,-0.03333333333333333,4,,,0.008333333333333333,0,-0.008333333333333333,False,False,False
per_product,coffee_machines,abstract,llama3.1-8b,social_proof,1,30,1,0,0.03333333333333333,0.0,-0.03333333333333333,3,,,0.01111111111111111,0,-0.01111111111111111,False,False,False
per_product,coffee_machines,abstract,llama3.1-8b,social_proof,2,30,1,0,0.03333333333333333,0.0,-0.03333333333333333,2,,,0.016666666666666666,0,-0.016666666666666666,False,False,False
per_product,coffee_machines,abstract,llama3.1-8b,social_proof,3,30,22,22,0.7333333333333333,0.7333333333333333,0.0,4.090909090909091,4.181818181818182,0.09090909090909083,0.25,0.22166666666666668,-0.02833333333333332,False,False,False
per_product,coffee_machines,abstract,llama3.1-8b,social_proof,4,30,1,3,0.03333333333333333,0.1,0.06666666666666668,5,5,0,0.006666666666666667,0.02,0.013333333333333332,True,False,True
per_product,coffee_machines,abstract,llama3.1-8b,social_proof,5,30,28,29,0.9333333333333333,0.9666666666666667,0.033333333333333326,3.2857142857142856,3.413793103448276,0.1280788177339902,0.35055555555555556,0.39555555555555555,0.044999999999999984,True,False,True
per_product,coffee_machines,abstract,llama3.1-8b,social_proof,6,30,28,29,0.9333333333333333,0.9666666666666667,0.033333333333333326,3.642857142857143,3.2413793103448274,-0.4014778325123154,0.2872222222222222,0.3272222222222222,0.03999999999999998,True,True,True
per_product,coffee_machines,abstract,llama3.1-8b,social_proof,7,30,28,30,0.9333333333333333,1.0,0.06666666666666665,2.0357142857142856,1.6666666666666667,-0.36904761904761885,0.5583333333333333,0.6888888888888889,0.13055555555555554,True,True,True
per_product,coffee_machines,abstract,llama3.1-8b,social_proof,8,30,25,30,0.8333333333333334,1.0,0.16666666666666663,2.12,1.6,-0.52,0.5122222222222222,0.7944444444444444,0.28222222222222215,True,True,True
per_product,coffee_machines,abstract,llama3.1-8b,social_proof,9,30,15,14,0.5,0.4666666666666667,-0.033333333333333326,2.8,2.7142857142857144,-0.08571428571428541,0.2822222222222222,0.27,-0.01222222222222219,False,True,False
aggregate,coffee_machines,abstract,llama3.1-8b,social_proof_baseline,,10,,,,,0.05333333333333332,,,-0.7497450697450697,,,0.16133333333333333,6,7,8
aggregate,coffee_machines,abstract,llama3.1-8b,social_proof,,10,,,,,0.023333333333333327,,,-0.16532168980444836,,,0.04344444444444444,5,4,5
